Paper ID,DOI,Methodology,Publisher,Year,1a. Are all the data sources listed?,1b. What type of data is used?,1c. Dataset statistics present?,1d. Data availability,1e. Benchmark Dataset,1f. Metadata/Description,2a. pre porcessing steps,2b. removed source data,2c. multiple sources: combination clear?,2d. methods for features/descriptors,3a. HP opt - model(s),3b. HP opt - baseline(s),3c. HP opt procedure,3d. searched ranges - model,3e. searched ranges - baselines,3f. best HP - model,3g. best HP - baselines,4a. what splitting type,4b. splitting method,4c. splitting type (evaluation procedure),4d. data leakage,4e. metrics,4f. stat sig tests,5a. code/workflow repo,5b.  empty repo ,5c. data preprocessing code,5d. feature generation code,5e. evaluation code,5f. hyperparameter tuning code,5g. supplementary info,5h. sw implementation
52,https://doi.org/10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927944,ML,SCP,2022,y,real-world,y,purchasable,,y,n,,y,y,n,n,n,n,n,n,n,not mentioned,,,,"F1 score, Precision, Recall",n,n,na,na,na,na,na,na,na
53,https://doi.org/10.4230/OASIcs.DX.2024.22,ML,SCP,2024,n,simulation,y,not mentioned,,y,n,,na,y,n,n,n,n,n,n,n,Single-Split,,,,"Error Est., no metrics",n,n,na,na,na,na,na,na,na
54,https://doi.org/10.1016/j.ifacol.2022.07.152,MB+ML,SCP,2022,y,simulation,n,public,,y,n,,na,y,y,n,y,n,n,y,n,not mentioned,,,,"Charts, Error Est.",n,n,na,na,na,na,na,na,na
55,https://doi.org/10.1109/HPCC-DSS-SmartCity-DependSys53884.2021.00291,ML,SCP,2021,n,not mentioned,n,not mentioned,,n,n,,na,n,n,n,n,n,n,n,n,not mentioned,,,,no metrics,n,n,na,na,na,na,na,na,na
56,https://doi.org/10.1109/SmartNets50376.2021.9555424,ML+KB,SCP,2021,n,real-world,n,not mentioned,,y,y,,na,y,n,n,n,n,n,n,n,not mentioned,,,,"Accuracy, Confusion Matrix, Precision, Recall",n,n,na,na,na,na,na,na,na
57,https://doi.org/10.1088/1755-1315/675/1/012196,ML,SCP,2021,n,experiment,n,not mentioned,,y,y,,na,y,n,n,n,n,n,n,n,T/V/T,,,,Accuracy,n,n,na,na,na,na,na,na,na
58,https://doi.org/10.1051/e3sconf/202123303057,ML,SCP,2021,y,real-world,n,purchasable,,n,n,,na,y,n,n,n,n,n,n,n,Single-Split,,,,Q-statistic,n,n,na,na,na,na,na,na,na
59,https://doi.org/10.1109/ISAP48318.2019.9065995,ML,SCP,2019,n,real-world,y,not mentioned,,y,n,,na,y,n,n,n,n,n,n,n,T/V/T,,,,"Accuracy, Confusion Matrix",n,n,na,na,na,na,na,na,na
60,https://doi.org/10.1109/IECON43393.2020.9254466,ML,SCP,2020,n,real-world,n,not mentioned,,n,n,,na,n,y,n,y,y,n,y,n,Single-Split,,,,"Accuracy, Confusion Matrix, F1 score, Precision, Recall",n,n,na,na,na,na,na,na,na
61,https://doi.org/10.1109/ICIoT48696.2020.9089508,ML,SCP,2020,n,simulation,y,not mentioned,,y,n,,na,y,y,n,y,n,n,y,n,Single-Split,,,,"""Qualitative metrics (estimations, Accuracy, F1 score, FPR, Fault Detection Rate, Precision, Recall, Sensitivity, Specitivity, etc)"", false alram rates, specitivity",n,n,na,na,na,na,na,na,na
62,https://publications.ibpsa.org/proceedings/bs/2019/papers/BS2019_210311.pdf,MB+ML,SCP,2019,n,"real-world, simulation",n,not mentioned,,y,n,,na,y,y,n,n,n,n,n,n,Out of Sample,,,,"Accuracy, Charts",n,n,na,na,na,na,na,na,na
63,https://doi.org/10.1016/j.energy.2020.117323,ML,SCP,2020,y,experiment,y,proprietary,,y,n,,y,y,n,n,n,n,n,n,n,Cross Validation,,,,"Accuracy, Charts",n,n,na,na,na,na,na,na,na
64,https://doi.org/10.1109/COASE.2017.8256214,MB+ML,SCP,2017,y,"real-world, simulation",n,purchasable,,y,n,,na,y,n,n,n,n,n,n,n,Out of Sample,,,,"Charts, F1 score",n,n,na,na,na,na,na,na,na
65,https://doi.org/10.1109/AIMS.2013.34,ML,SCP,2013,y,experiment,n,purchasable,,y,n,,na,y,n,n,n,n,n,n,n,not mentioned,,,,"Accuracy, F1 score, Precision, Recall, Sensitivity, Specitivity",n,n,na,na,na,na,na,na,na
66,https://doi.org/10.1109/CoASE.2014.6899463,MB+ML,SCP,2014,n,simulation,y,not mentioned,,y,y,,na,y,n,n,n,n,n,n,n,not mentioned,,,,"Charts, Error Est., Q-statistic",n,n,na,na,na,na,na,na,na

